key_output	ATM_0	ATM_2	RAD50_0	RAD50_2	MDC1_0	MDC1_2	KAT5_0	KAT5_2	NBN_0	NBN_2	RNF8_0	RNF8_2	MRE11_0	MRE11_2	KPNA2_0	KPNA2_2	CHEK2_0	CHEK2_2	BARD1_0	BARD1_2	RNF168_0	RNF168_2	BRCA1_0	BRCA1_2	TP53BP1_0	TP53BP1_2	TIMELESS_0	TIMELESS_2	RAD51_0	RAD51_2	BRCA2_0	BRCA2_2	BRIP1_0	BRIP1_2	PALB2_0	PALB2_2	BLM_0	BLM_2	RAD52_0	RAD52_2	ATR_0	ATR_2	ERCC1_0	ERCC1_2	ERCC4_0	ERCC4_2	MUS81_0	MUS81_2	CHEK1_0	CHEK1_2	RTEL1_0	RTEL1_2	PARP1_0	PARP1_2	PARP2_0	PARP2_2	RBBP8_0	RBBP8_2	FEN1_0	FEN1_2	XRCC1_0	XRCC1_2	LIG3_0	LIG3_2	PRKDC1_0	PRKDC1_2	DCLRE1C_0	DCLRE1C_2	LIG4_0	LIG4_2	POLM_0	POLM_2	XRCC5_0	XRCC5_2	XRCC6_0	XRCC6_2	NHEJ1_0	NHEJ1_2	XRCC4_0	XRCC4_2	POLL_0	POLL_2	TDP1_0	TDP1_2	TDP2_0	TDP2_2	POLQ_0	POLQ_2	control
5683784	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5683808	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5693527	0	2	0	2	1	1	0	2	0	2	1	1	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3785763	1	1	0	2	1	1	1	1	0	2	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5682162	0	2	0	2	1	1	0	2	0	2	1	1	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5686469	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	0	2	0	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5686410	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	0	2	0	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5686483	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	0	2	0	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5693589	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	0	2	0	2	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5686663	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	0	2	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
