key_output	IL13_0	IL13_2	IL13RA2_0	IL13RA2_2	IL13RA1_0	IL13RA1_2	IL4_0	IL4_2	IL4R_0	IL4R_2	AKT1_0	AKT1_2	BCL2_0	BCL2_2	BCL6_0	BCL6_2	CCND1_0	CCND1_2	FOXO1_0	FOXO1_2	FOXO3_0	FOXO3_2	GATA3_0	GATA3_2	HIF1A_0	HIF1A_2	HSP90AA1_0	HSP90AA1_2	IRF4_0	IRF4_2	JAK1_0	JAK1_2	JAK2_0	JAK2_2	JAK3_0	JAK3_2	MUC1_0	MUC1_2	MYC_0	MYC_2	PIK3R1_0	PIK3R1_2	PIM1_0	PIM1_2	SOCS1_0	SOCS1_2	SOX2_0	SOX2_2	STAT3_0	STAT3_2	STAT6_0	STAT6_2	TP53_0	TP53_2	control
879209	0	2	2	0	0	2	0	2	0	2	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	0	2	1	1	1	1	1
6788575	1	1	1	1	1	1	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	0	2	0	2	1	1	1
6788618	0	2	2	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	1	1	1
6789331	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6789357	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6789485	2	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6789504	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6789797	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	0	2	1	1	1	1	1	1	2	0	1	1	0	2	1	1	1	1	1
6789965	2	0	0	2	2	0	2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	2	0	2	0	1	1	1	1	1	1	1	1	0	2	1	1	2	0	1	1	0	2	1
6790032	0	2	2	0	0	2	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	0	2	0	2	1	1	1	1	0	2	1	1	2	0	1	1	0	2	1	1	1	1	1
6790034	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	2	0	1	1	1	1	1
6790042	0	2	2	0	0	2	0	2	0	2	1	1	1	1	0	2	0	2	0	2	0	2	1	1	0	2	1	1	1	1	0	2	0	2	0	2	1	1	0	2	1	1	0	2	2	0	0	2	0	2	1	1	1	1	1
6793974	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0	2	1	1	1
6793985	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0	2	1	1	1
6797275	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6797291	2	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
51645	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
66212	2	0	0	2	2	0	2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	2	0	2	0	1	1	1	1	1	1	1	1	0	2	1	1	2	0	1	1	1	1	1
996768	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0	2	1	1	1
189395	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
981545	0	2	2	0	0	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	0	2	1	1	1	1	1	1	1	1	2	0	1	1	0	2	1	1	1	1	1
141183	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
